profitable:JJ	লাভজনক
along:IN	নিঃসঙ্গ
aligm:NN	শ্রেণী বদ্ধ হয়ে দাড়ানো
alarmclock:NN	ঘুম ভাঙ্গানো ঘড়ি
algebraist:NN	বীজগণিত বেত্তা
alarmist:NN	যে ব্যক্তি সামান্য কারণে আতঙ্কের সৃষ্টি করে
ambergris:NN	তিমি মাছের তন্ত্রজাত
ambergris:NN	সুগন্ধি দ্রব্যবিশেষ
alarming:VVG	উদ্বেগ জনক
amazon:NN	আমাজন
alfresco:NN	মুক্ত বায়ুতে
amble:VV	কদমে চলা
amble:VV	ধীরে চলা
allegiance:NN	আনুগত্য
airconditioned:JJ	শীতাতপ নিয়ন্ত্রিত
alight:NN	নেমে আসা
allied:VVN	সন্ধিবদ্ধ
allied:VVN	সম্মিলিত
amelioration:NN	উনতি
amelioration:NN	উন্নতি সম্পাদান
almsman:NN	ভিক্ষোপজীবি
airraid:NN	বিমান আক্রমণ
allergy:NN	রোগ বিশেষ
alternation:NN	পালাক্রমে সংঘটন
alienator:NN	সম্পত্তি হস্তান্তরকারী
alleged:VVN	অভিযোগে বর্ণিত
airpump:NN	বায়ু নিষ্কাশন যন্ত্র
ambitious:JJ	উচ্চাভিলাষী
ambitious:JJ	দূরাকাংক্ষী
aligment:NN	এক সরল রেখায় বিনস্ত করণ
air-base:NN	বিমান ঘাটি
alienate:NN	শক্ত বা অধিকার হস্তান্তর করা
alpha:JJ	গ্রীক বর্নমালার প্রথম অক্ষর
airing:VVG	খোলা বাতাসে বেড়ানো
alacrity:NN	তৎপরতা
album:NN	ফটোগ্রাফ
alga:NN	সমুদ্র শৈবাল
altemeter:NN	উচ্চতাপমাপক যন্ত্র
alliance:NN	মৈত্রী
alliance:NN	সন্ধি
alliance:NN	কুটুম্বিতা
alike:NN	সদৃশ
alike:NN	অনুরূপ
alteration:NN	পরিবর্তন করা
algebra:NN	বীজগণিত
amatory:JJ	প্রণয় সংক্রান্ত
amazement:NN	বিস্ময়
allegoric:JJ	রূপকাত্মক
albeit:NN	যদিও
although:IN	সত্ত্বেও
alternatively:RB	বিকল্পরুপে
alkaline:NN	ক্ষারীয়
alderman:NP	পৌর মুক্ষ্য
airdrome:NN	বিমান ঘাঁটি
allot:VV	বন্টন করা
allot:VV	নিদিষ্ট করে দেওয়া
alimentary:NN	খাদ্য সংক্রান্ত
amber:JJ	তৈলস্ফটিক
altruism:NN	পরার্থবাদ
airhostess:NN	বিমান সেবিকা
alpine:NP	আল্পস
alluring:JJ	মুগ্ধকর
alum:NN	ফট্‌কিরি
alumnus:NN	প্রাক্তন ছাত্র
alumnus:NN	প্রাক্তনী
ambit:NN	বেষ্টনী
ambit:NN	চৌহদ্দি
amanuensis:NN	শ্রুতিলিপিকর
amanuensis:NN	শ্রুতি লেখক
airmarshal:NN	বিমান বাহিনীর উচ্চ পদস্থ কর্মচারী বিশেষ
ambush:NN	ওতপাতা
alliteration:NN	অনুপ্রাস
airpower:NN	বিমান শক্তি
akim:NN	এক বংশজ
akimbo:NP	কোমরে হাত দিয়ে ও কুনই বেড় করে দাড়ানো
al-house:NN	মদের দোকান
alchol:NN	বিশুদ্ধ সুরাসার
amalgamation:NN	মিশ্রণ
airgun:NN	বন্দুক
altar:NN	পূজাবেদী
amass:VV	সঞ্চয় করা
amass:VV	জমান
alive:NN	জীবন্ত
air-force:NN	বিমান বাহিনী
aluminium:NN	অ্যলুমিনিয়াম
airway:NN	যে পথে নিয়মিত বিমান চলাচল করে
cataclysm:NN	মহাপ্লাবন
cataclysm:NN	প্রলয়
cataclysm:NN	ভীষণ ভূমিকম্প
cataclysm:NN	মহাযুদ্ধ
casque:NN	শিরস্ত্রাণ
cataract:NN	জলপ্রপাত
cataract:NN	চোখের ছানিরোগ
catechu:NN	খয়ের
caste:NN	যবর্ণ
caste:NN	জাতি
catholic:JJ	ক্যাথলিক
catholic:JJ	ধর্মমতাবলম্বী
catholic:JJ	সার্বজনীন
cast:NN	নিক্ষেপ করা
cast:NN	ছাচে ঢালা
carving:VVG	খোদাই করা কোন জিনিস
carving:VVG	খোদাই করা মূর্তি
cask:NN	তরল জিনিস রাখিবার পিপা
cashier:NN	কোষাধ্যক্ষ
cashier:NN	খাজাঞ্চী
castor-oil:NN	রেড়ির তেল
category:NN	শ্রেণী
category:NN	বিভাগ
catarrh:NN	সর্দি
cholera:NN	ওলাউঠা
cholera:NN	কলেরা
casting:VVG	নিক্ষেপণ
christ:NN	যীশুখ্রীষ্ট
causative:JJ	কারণ সূচক
causative:JJ	নিজন্ত
cauterization:NN	কস্টিক বা উত্তপ্ত লৌহ দ্বারা দহন
caw:VV	কাকের ডাক
celestial:JJ	আকাশ-সম্বন্ধীয়
celestial:JJ	অত্যন্ত সুন্দর
celebrity:NN	যশঃখ্যাতি
ceiling:NN	ঘরের ছাদের ভিতরের দিক
cattle:NNS	গৃহপালিত পশু
cattle:NNS	গবাদি পশু
cavalier:JJ	অশ্বারোহী সৈনিক
cavalier:JJ	শিষ্টাচারী ভদ্রলোক
cavalier:JJ	বীর
catheter:NN	মূত্র নিষ্কাশনের নল বিশেষ
choir:NN	গির্জার গায়কদল
catechetic:JJ	প্রশ্নোত্তর-সম্বন্ধীয়
choke:VV	শ্বাসরোধ করা
choke:VV	অবরোধ করা
choke:VV	ব্যাহত করা
cathedral:NN	বিশপের অধীন গির্জা
cause:NN	উৎপাদক
cause:NN	নিমিত্ত
cavity:NN	গহ্বর
cavity:NN	গর্ত
cavity:NN	খোল
causeway:NN	পাথরে বাঁধানো উঁচু রাস্তা
casket:NN	মণি-রত্নাদি রাখিবার ছোট বাক্স
choosy:NN	খুঁতখুঁতে
cartridge:NN	বন্দুকের টোটা
cartridge:NN	গুলি
cellophane:NN	সেলোফেন
cellophane:NN	স্বচ্ছ কাগজ
caution:NN	সতর্কীকরণ
choice:NN	পছন্দ
choice:NN	মনোনয়ন শক্তি
choice:NN	বাছাই করা বস্তু
cast-iron:NN	ঢালাই লোহা
carve:VV	খন্ড খন্ড করিয়া কাটা
carve:VV	ক্ষোদিত করা
caterer:NN	খাদ্য সরবরাহকারী
cavil:NN	তুচ্ছ আপত্তি
casting-net:JJ	খেপলা জাল
catching:VVG	সংক্রামক
catching:VVG	মুগ্ধকর
catching:VVG	আকর্ষণীয়
celibacy:NN	অবিবাহিত অবস্থা
celibacy:NN	কৌমার্য
chop:VV	টুকরো করে বা কুচি কুচি করে কাটা
cauterize:VV	উত্তপ্ত শলাকা দ্বারা পোড়ান
cateche:NN	প্রশ্নোত্তর-সম্বন্ধীয়
cementation:NN	সিমেন্ট দ্বারা সংযোজন
cathay:NP	চীনের প্রাচীন নাম
cassia:NN	দারুচিনি বিশেষ
casual:JJ	দৈবাৎ সংঘটিত
casual:JJ	সাময়িক
casual:JJ	অমনোযোগী
casualty:NN	দুর্ঘটনা
casualty:NN	দুর্ঘটনায় হতাহত ব্যক্তি
casualty:NN	যুদ্ধে হতাহত ব্যক্তি
chord:NN	ছিলা
chord:NN	জ্যা
celler:NN	ভূগর্ভস্থ ভান্ডার
celler:NN	কুঠুরি
celerity:NN	বেগ
celerity:NN	ক্ষিপ্রতা
categorical:JJ	বিভাগীয়
categorical:JJ	শ্রেণী সম্বন্ধীয়
categorical:JJ	স্পষ্ট
categorical:JJ	শর্তহীন
categorical:JJ	পরম
categorical:JJ	চরম
catter:NN	গাড়োয়ান
catchy:JJ	চিত্তাকর্ষক
catchy:JJ	সহজে ধরা যায় এমন
catchy:JJ	প্রতারণামূলক
cash-book:JJ	রোকড়
cash-book:JJ	জমা খরচের খাতা
choose:VV	বাছাই করা
choose:VV	পচন্দ করা
choose:VV	নির্বাচন করা
cave:NN	গহ্বর
cadaverous:JJ	মড়ার মত ফ্যাকাসে
cadaverous:JJ	বিকৃত
cater:VVP	খাদ্য সরবরাহ করা
cease:VV	শেষ হওয়া
cease:VV	শেষ করা
cease:VV	ক্ষান্ত হওয়া
quire:NN	গির্জার গায়কদল
cell:NN	ক্ষুদ্র কক্ষ
cash-register:JJ	প্রাপ্ত টাকাকড়ি লিপিবদ্ধ করিবার যন্ত্র বিশেষ
catch:VV	লোফা
catch:VV	পাকড়াও করা
catch:VV	সংক্রমিত হওয়া
catch:VV	বিজড়িত হওয়া
catgut:NN	তাঁত
cartouche:NN	টোটা রাখিবার পাত্র
catapult:VV	প্রাচীনযুগের পাথর ছুড়িবার যন্ত্র
ceaseless:JJ	অবিরাম
chorus:NN	গায়কদল
cascade:NN	জলপ্রপাত
castigate:VV	প্রহার করা
castigate:VV	তিরস্কার করা
castigate:VV	শাস্তি দেওয়া
catalogue:NN	তালিকা
caterwaul:NN	বিড়ালের ন্যায় চিংকার করা
caterwaul:NN	শ্রুতিকটু শব্দ করা
cartwright:NN	গাড়ি নির্মাতা
castle:NN	দুর্গ
castle:NN	দাবা খেলার নৌকা
casually:RB	দৈবাৎ
casually:RB	সাময়িকভাবে
catholicism:NN	ক্যাথিলিক ধর্ম
catechism:NN	প্রশ্নোত্তর দ্বারা শিক্ষাদান
catechism:NN	সংক্ষিপ্ত ধর্মশিক্ষা
cautious:JJ	সাবধান
cello:NN	বেহালাজাতীয় বাদ্যযন্ত্র বিশেষ
cellular:JJ	কোষবিশিষ্ট
cellular:JJ	কোষীয়
cellular:JJ	জালি
carver:NN	মাংস-কাটা ছুরি
carver:NN	ভাস্কর
celebrate:VV	ধর্মানুষ্ঠান করা
caterpillar:NN	গুটিপোকা
caterpillar:NN	শুয়াপোকা
cavalry:NN	অশ্বারোহী সৈন্যদল
celery:NN	সেলেরি
cat-eyed:JJ	বিড়ালচোখো
cat-eyed:JJ	অন্ধকারে দেখিতে সমর্থ
catastrophe:NN	চরম বিপর্যয়
caustic:JJ	দগ্ধকারক
caustic:JJ	দাহজনক
caustic:JJ	ক্ষয়কারক
caustic:JJ	তীব্র
caustic:JJ	মর্মান্তিক
pretty:JJ	মনোরম
pretty:JJ	সুশ্রী
pretty:JJ	আকর্ষণীয়
bless:VV	আশীর্বাদ করা
bless:VV	সৃষ্টিকর্তার অনুগ্রহ প্রর্থনা করা
pretty:JJ	মনোরম
pretty:JJ	সুদৃশ্য
spree:NN	আনন্দময় ক্রীড়াকৌতুক
graybeard:NN	বৃদ্ধলোক
spree:NN	খুশির জোয়ার
ornate:JJ	সুসজ্জিত
sixty:CD	ষাট
partly:RB	আংশিক ভাবে
stonework:NN	পাথরের কাজ
carving:NN	ভাস্কর্য
mourning:NN	শোক
lintels:NNS	চৌকাঠ
interlude:NN	গর্ভাভিনয়
bat:NN	বাদুড়
leash:VV	নিয়ন্ত্রণ করা
yusuf:NP	ইউসুফ
craziness:NN	পাগলামি
gather:VVP	একত্রিত করা
bagasse:NN	আঁখের ছোবরা
edifice:NN	অট্টালিকা
mercy:NN	মাফ দেওয়া
wikimedia.foundation:NP	উইকিমিডিয়া ফাউন্ডেশন
wikimedia:NN	উইকিমিডিয়া
allegiance:NN	আনুগত্ত
divorce:NN	বিবাহ বিচ্ছেদ
tania:NP	তানিয়া
today:NN	আজ
iraqi:JJ	ইরাকী
grieve:VV	মর্মাহত হওয়া
war-torn:JJ	যুদ্ধ বিদ্ধস্ত
abysm:NN	খাদ
shoes:NNS	জুতা
engulf:VV	গ্রাস করা
sunni:NP	সুন্নী
fortune:NN	দৈব্য
prison:NN	জেলখানা
anticipate:JJ	আশা করা
far:RB	দুর
contract:NN	চুক্তি
legitimate:JJ	বৈধ
conflict:NN	সংঘাত
custom:RB	নিয়ম
custom:RB	রীতি
unlock:NN	খোলা
security:NN	নিরাপত্তা
certification:NN	সত্যতা অনুমোদন
certification:NN	প্রমানীকরন
president.bush:NP	রাষ্ট্রপতি বুশ
anytime:RB	যে কোনো সময়
disobey:VV	নির্দেশ না মানা
disobey:VV	অমান্য করা
mice:NNS	ইঁদুর
consensus:NN	ঐকমত্য
pillar:NN	স্তম্ভ
fourth.pillar:NN	চতুর্থ স্তম্ভ
with:IN	সহিত
regarding:IN	সম্পর্কে
coverage:NN	প্রতিবেদন প্রচার
verifiability:JJ	যাচাইযোগ্যতা
mere:JJ	সাধারণ
technical:JJ	কৌশল
personal.computer:NN	ব্যাক্তিগত কম্পিউটার
stand-alone:JJ	একক
stand-alone.article:NN	একক নিবন্ধ
satisfy:VV	সন্তুষ্ট করা
integrity:NN	শুদ্ধতা
reliable.source:NN	নির্ভরযোগ্য উৎস
affiliated:JJ	অধিভুক্ত
self-publicity:JJ	আত্ম প্রচারনা
self-published.material:NN	স্বপ্রকাশিত বস্তু
self-published:JJ	স্বপ্রকাশিত
autobiographies:NNS	আত্মজীবনী
presumed:JJ	মানিত
presumption:NN	অনুমান
solidarity:NN	সংহতি
poor:JJ	গরীব
inherited:JJ	উত্তরাধিকার সুত্রে প্রাপ্ত
pillar:NN	থাম
failure:NN	অকৃতকার্যতা
colon:NN	কোলন
mediawiki:NP	মিডিয়াউইকি
prefix:NN	উপসর্গ
encyclopedia:NP	বিশ্বকোষ
namespace:NN	নামস্থান
fain:RB	সানন্দে
faint:JJ	নিস্তেজ
quelling:NN	দমনকরা
overarching:NN	খিলান
aback:RB	বিস্মিত
aback:RB	আশ্চার্যান্বিত
substantial.coverage:NN	প্রামান্য প্রতিবেদন
abaddon:NN	নরক
relative:JJ	আপেক্ষিক
abashed:JJ	অপ্রতিভ
abashed:JJ	হতভম্ব
speculation:NN	ধারণা
substantiate:VV	প্রমান সাবুদ করা
continual:JJ	অবিরাম
abject:JJ	হীন
liveliness:NN	সজীবতা
halim:NP	হালিম
conscience:NN	বিবেক
grateful:JJ	কৃতজ্ঞ
rabbits:NNS	খরগোশ
commodity:NN	পণ্য
unacceptable:JJ	অগ্রহনযোগ্য
continual.coverage:NN	অবিরাম প্রতিবেদন
postage:NN	ডাকখরচ
stamp:NN	ডাক টিকিট
idol:NN	প্রতিমা
insufficiency:NN	অপর্যাপ্ততা
negligence:NN	অবহেলা
toxic.waste:NN	বিষাক্ত বর্জ্য
waste:NN	বর্জ্য
toxic:JJ	বিষাক্ত
manmade:NN	মানব সৃষ্ট
heroic:JJ	বীরোচিত
pancreas:NN	অগ্নাশয়
memory:NN	স্মৃতি
musk:NN	মুখোশ
portability:NN	বহনযোগ্যতা
distinct:JJ	আলাদা
re-use:VV	পুনর্ব্যবহার করা
dictation:NN	আদেশ
password:NN	সাঙ্কেতিক শব্দ
password:NN	গুপ্তমন্ত্র
selfishness:NN	স্বার্থপরতা
unhesitatingly:RB	অসংকোচে
lady:NN	গৃহিণী
lady:NN	পত্নী
rift:NN	ফাটল
stab:VV	ছুরিকাঘাত করা
geology:NN	ভূতত্ত্ব
distort:VV	বিকৃত করা
beset:JJ	ঘেরাও করা
beset:JJ	চারদিক থেকে অবরোধ করা
replaceable:JJ	প্রতিস্থাপনযোগ্য
bough:NN	গাছের বড় ডাল
commissar:NN	কমিসার
behold:VV	দেখা
jubilant:JJ	উল্লসিত
ape:NN	বন মানুষ
awareness:NN	সচেতনতা
jubilant:JJ	বিজয়োল্লসিত
jubilant:JJ	আনন্দগর্বে মত্ত
cockroach:NN	তেলাপোকা
emu:NN	এমু
choirs:NNS	গির্জার গায়কদল
oaf:NN	বোকা লোক
unregulated:JJ	অনিয়ন্ত্রিত
uploader:NN	আপলোডকারী
subservient:JJ	অধীন
metabolic:JJ	বিপাকীয়
skeptical:JJ	অবিশ্বাসী
quark:NN	কোয়ার্ক
stub:NN	অসম্পূর্ণ
degradation:NN	অবনমন
vacation:VVP	অবকাশ যাপন
tag:NN	ট্যাগ
infringements:NN	বিধিলঙ্ঘন
unfamiliar:JJ	অপরিচিত
refund:VV	ফিরিয়ে দেওয়া
confusing:JJ	বিভ্রান্তকর
courteous:JJ	নম্র
creator:NN	সৃষ্টিকারী
prior:JJ	আগের
consolidation:NN	দৃঢ়করণ
perceives:VVZ	উপলব্ধি করা
short:JJ	সংক্ষিপ্ত
dispute:NN	বিতর্ক
unfree:JJ	মুক্ত নয় এমন
non-free:JJ	মুক্ত-নয় এমন
speedily:RB	দ্রুতভাবে
redundant:JJ	অনাবশ্যক
reasonable.doubt:NN	যুক্তিসম্মত সংশয়
redundant:JJ	প্রয়োজনের অতিরিক্ত
redirected:JJ	পুনর্নির্দেশীত
suspected:JJ	সন্দেহজনক
good-faith:NN	ভাল বিশ্বাস
voyage:NN	সমুদ্রযাত্রা
perforated:JJ	ছিদ্র যুক্ত
violations:NNS	উলঙ্ঘন
copyright:NN	কপিরাইট
politician:NN	রাজনীতিবিদ
politician:NN	রাজনীতিবিদ
reasonable:JJ	যুক্তিসম্মত
commons:NP	কমনস
appropriately:RB	সঠিকভাবে
method:NN	পদ্ধতি
case:NN	ঘটনা
plain-english:JJ	সরল ইংরেজি
teheran:NP	তেহেরান
najaf:NP	নাজাফ
Istambul:NN	ইস্তাম্বুল
shamim:NP	শামীম
name:NN	নাম
fundamentalism:NN	মৌলবাদ
religious.fundamentalism:NN	ধর্মীয় মৌলবাদ
tamim:NP	তামীম
tensile:JJ	নমনীয়
mahfuz:NP	মাহফুজ
underage:JJ	অপ্রাপ্তবয়স্ক
option:NN	পছন্দ
kitchen:NN	রান্নাঘর
childish:JJ	ছেলেমি
cctld:NP	সিসিটিএলডি
elasticity:NN	নমনীয়তা
objection:NN	আপত্তি
generally:RB	সাধারনভাবে
territory:NN	অঞ্চল
imply:VV	ইঙ্গিত করা
strangle:RB	শ্বাসরোধ করা
yoke:NN	জোয়াল
acts:NNS	আইন
asaduzzman:NP	আসাদুজজামান
prone:JJ	প্রবণ
judgment:NN	বিচার
third-party:JJ	তৃতীয়-পক্ষ
partner:NN	সঙ্গী
paddle:NN	বৈঠা
academic:JJ	শিক্ষায়তনিক
exhaustive:JJ	সম্পূর্ণ
common.sense:NN	সাধারণ জ্ঞান
scholarly:JJ	বিদ্বজ্জনোচিত
verdict:NN	বিধান
verdict:NN	বিচারক এর রায়
shipbuilding:NN	জাহাজ নির্মাণ
bioengineer:NN	জৈব প্রযুক্তিবিদ
interpreted:JJ	ব্যাক্ষ্যায়িত
following:JJ	পরবর্তী
file:NN	ফাইল
with:IN	সঙ্গে
indispensable:JJ	অপরিহার্য
insurgency:NN	বিদ্রোহ
birds:NNS	পাখি
excessive:JJ	অতিরিক্ত
host:NN	আমন্ত্রক
unencyclopedic.material:NN	অবিশ্বকোষীয় উপাদান
evict:VV	আইন বলে উচ্ছেদ করা
private.photos:NNS	ব্যক্তিগত চিত্র
forcibly:RB	বলপ্রয়োগ করে
exact.number:NN	প্রকৃত সংখ্যা
morichjhanpi:NP	মরিচঝাঁপি
deaths:NNS	মৃত্যু
intensities:NNS	তীব্রতা
fennel:NN	মৌরী
fact-checking:NN	তথ্য পরীক্ষা
material:NN	বিষয়বস্তু
always:RB	সর্বদা
intend:VV	উদ্দেশ্য থাকা
indispensable.part:NN	অপরিহার্য অংশ
purchaser:NN	ক্রেতা
specific:JJ	নির্দিষ্ট
citation:NN	উদ্ধৃতি
proportion:NN	অনুপাত
consolation:NN	সান্তনা
caste-related:JJ	জাতপাত সম্পর্কিত
consensus:NN	ঐক্যমত
tribe:NN	উপজাতি
adivasis:NPS	আদিবাসী
scientifically:RB	বৈজ্ঞানিকভাবে
kick:VV	লাথি মারা
al-karim:NP	আল কারীম
lightsome:JJ	আলোকিত
ethic:NN	নীতিশাস্ত্র
smell:NN	গন্ধ
substantive:JJ	স্বতন্ত্র
volition:NN	ইচ্ছা
ruined:JJ	ধ্বংসপ্রাপ্ত
synchronization:NN	সমন্বয়সাধন
judged:JJ	বিচারিত
mujibur:NP	মুজিবুর
rahman:NP	রহমান
gopalganj:NP	গোপালগঞ্জ
sheikh.mujibur.rahman:NP	শেখ মুজিবুর রহমান
sheikh:NP	শেখ
provincial:JJ	প্রাদেশিক
provincial.capital:NN	প্রাদেশিক রাজধানী
diktat:JJ	নির্দেশনা
shouting:NN	চিৎকার
rabbit:NN	খারগোশ
player:NN	চালক
just:RB	সঠিক
squirrel:NN	কাঠবিড়ালী
impure:JJ	দূষিত
just:RB	মাত্র
medium-sized:JJ	মাঝারি-আকারের
squirrels:NNS	কাঠবিড়ালী
snake:NN	সাপ
consuming:NN	খাওয়া
edible:NN	ভক্ষ্য
amazed:JJ	আশ্চর্য হওয়া
inedible:JJ	অখাদ্য
fines:NNS	জরিমানা
shivering:NN	কাঁপা
serene:JJ	শান্ত
harvest:NN	ফসল ফলানো
yuvraj:NP	যুবরাজ
unconfirmed:JJ	অসমর্থিত
ice:NN	বরফ
propaganda:NN	প্রচার
affinity:NN	অনুরাগ
neatness:NN	পরিচ্ছন্নতা
landowner:NN	জায়গার মালিক
terminal:JJ	প্রান্তিক
useless:JJ	অকেজো
yuletide:NN	বড়দিনের উৎসব
information:NN	অর্থবহ তথ্য
department:NN	দপ্তর
community:NN	সম্প্রদায়
asshole:NN	চরম গর্দভ
wiring:NN	ওয়ারিং
caterpillar:NN	শুঁয়োপোকা
new.insights:NNS	নতুন পরিজ্ঞান
insight:NN	পরিজ্ঞান
tidbit:NN	জনশ্রুতির মুখোরচক অংশ
fuck:NN	যৌনসঙ্গম
groundless:JJ	ভিত্তিহীন
centric:JJ	কেন্দ্রিক
thorn:NN	কাঁটা
thorn:NN	কন্টক
Sadat:NP	সাদাত
lousy:JJ	উকুনময়
nasir:NP	নাসির
camel:NN	ঊট
stipulate:VV	শর্তাধীন উপস্থাপনা করা
cleanup:NN	পরিষ্করণ
copyrighted:VV	কপিরাইট যুক্ত
sterile:JJ	নিঃসন্তান
sterile:JJ	বাঁঝা
berth:NN	রেলের কামরায় শয়নস্থান
tenth:NN	দশম
rahu:NP	রাহু
mukhi:NP	মুখি
disease:NN	রোগ
pulsation:NN	ধুকধুকানি
profitable:JJ	লাভজনক
sutrapur:NP	সূত্রাপুর
jagannath:NP	জগন্নাথ
gibberish:NN	হ-য-ব-র-ল
jagannath.university:NP	জগন্নাথ বিশ্ববিদ্যালয়
final.year:NN	শেষ বর্ষ
goods:NN	সামগ্রী
purely:RB	শুদ্ধ ভাবে
poorly:RB	পারিপাট্যহীন ভাবে
offices:NNS	দপ্তব়
screed:NN	লেখা
hoax:NN	চালাকি
hoaxes:NNS	চাতুরী
fictional:JJ	কাল্পনিক
chatradal:NP	ছাত্রদল
poor:JJ	পারিপাট্যহীন
b.n.p:NP	বি.এন.পি
nasir.uddin.sarder:NP	নাসির উদ্দিন সরদার
chloride:NN	ক্লোরাইড
known.as:NN	পরিচিত
sodium:NN	সোডিয়াম
risible:JJ	হাস্যকর
nebulous:JJ	কুয়াশাচ্ছন্ন
generous:JJ	উদার
generous:JJ	মহানুভব
eighteen:CD	আঠেরো
rupee:NN	রুপি
seventeen:CD	সতেরো
intonation:NN	কথা বলার সময় কন্ঠস্বরের ওজনের উত্থান-পতন
intonation:NN	স্বরভেদ
sliver:NN	রূপা
twisting:NN	পাকানো
rupee:NN	টাকা
twenty-one:NN	একুশ
doctor:NN	ডাক্তার
doctor:NN	চিকিৎসক
untagged:JJ	ট্যাগ-বিহীন
false.case:NN	মিথ্যা মামলা
savar:NP	সাবর
botanist:NN	উদ্ভিদবিজ্ঞানী
sophisticated:JJ	সুক্ষ্ন
nag:NP	নাগ
sophisticated:JJ	অপ্রকৃত
sophisticated:JJ	কৃত্রিম
bangladesh:NN	বাংলাদেশ
spill:VV	পতন
useless:JJ	অর্থহীন
soiled:JJ	জমাট
go:NN	যাওয়া
indication:NN	ইঙ্গিত
guidelines:NNS	নীতি নির্দেশাবলী
emergency:JJ	জরুরী
result:NN	ফলাফল
footage:NN	ফুটের মাপে দৈর্ঘ্য
substantiate:VV	প্রমাণ করা
substantiate:VV	সমর্থন করা
uncombed:JJ	না আচড়ানো
exploding:VV	বিস্ফোরিত করা
belt:NN	বন্ধনী
silver:NN	রজত
hungry:JJ	ক্ষুধার্ত
work:NN	ক্রিয়া
bilayet:NP	বিলায়েত
praising:VVG	গুন কীর্তন করা
autobiography:NN	আত্নজীবনী
safeguard:VV	সুরক্ষিত করা
gaza.strip:NP	গাজা ভূখন্ড
israeli:JJ	ইজরায়েলী
corpse:NN	লাশ
very.firm:NN	খুব দৃঢ়
project.manager:NN	প্রকল্প ম্যানেজার
parade:NN	কুচকাওয়াজ
umbrella:NN	ছাতা
spunky:JJ	তেজী
living:JJ	জীবিত
consequently:RB	ফলস্বরূপ
draught:NN	বায়ু-স্রোত
external.force:NN	বাহ্যিক বল
net.flow:NN	সর্বমোট প্রবাহ
conductor:NN	পরিবাহক
net:JJ	সর্বমোট
propriety:NN	শুদ্ধ কাজ
charge:NN	দায়ীত্ব
draught:NN	টানা
draught:NN	ঔষধের মাত্রা
draught:NN	আকর্ষণ
draught:NN	দাবাজাতীয় খেলা
imposing:JJ	চিত্তাকর্ষক
imposing:JJ	দৃষ্টিনন্দন
imposing:JJ	মনোহর
imposing:JJ	সমৃদ্ধ
umpire:NN	আম্পায়ার
umpire:NN	সালিসি
farm:NN	গোলাবাড়ি
farm:NN	খামার
dhanmondi:NP	ধানমন্ডি
party:NN	অনূষ্ঠান
bagh:NP	বাঘ
pir.shaheb:NP	পীর সাহেব
instead:RB	বদলে
fructose:NN	ফলশর্করা
rhythm:NN	ছন্দ
apparatus:NN	যন্ত্রপাতি
nudge:VV	হালকাভাবে ঠেলা
enduring:JJ	স্থায়ী
collectively:RB	সামগ্রিকভাবে
convenience:NN	সুবিধা
scholars:NNS	পন্ডিত
olympic.games:NP	অলিম্পিক গেমস
championships:NN	চ্যাম্পিয়নশিপ
amateur:NN	অপেশাদার
standing:NN	অবস্থান
non-league.sport:NN	নন-লিগ স্পোর্ট
cite:VV	উদ্ধৃতি দেওয়া
technique:NN	কৌশল
periodical:NN	পর্যায়ক্রমিক
feature-length.film:NN	পূর্ণদৈর্ঘ্য চলচ্চিত্র
parents:NNS	উর্ধ্বস্থ
lenin:NP	লেনিন
personality:NN	ব্যক্তিত্ব
personalities:NNS	ব্যক্তিত্ব
innovative:JJ	প্রবর্তক
large:JJ	অনেক
wife:NN	বউ
escalate:VV	ধাপে ধাপে বৃদ্ধি পাওয়া
escalate:VV	তীব্রতর হওয়া
vassal:NN	প্রজা
dictionary:NN	শব্দভাণ্ডার
mom:NN	মা
body:NN	শরীর
exploitation:NN	শোষণ
Vietnamese:JJ	ভিয়েতনাম
konok:NP	কনক
next.section:NN	পরবর্তী পরিচ্ছদ
flick:NN	দপদপ করা
free.image:NN	মুক্ত ছবি
utility:NN	উপযোগীতা
wherever:RB	যে কোনো জায়গায়
wikimedia:NP	উইকিমিডিয়া
coconut:NN	নারকেল
subtopics:NN	উপ-বিষয়
provision:NN	সরবরাহ
sweetheart:NN	প্রণয়িনী
tilt:VV	কাত হওয়া
attribution:NN	আরোপন
objections:NNS	আপত্তি
females:NNS	মেয়ে
attribute:VV	আরোপ করা
males:NNS	ছেলে
fridge:NN	ফ্রিজ
restrict:VV	নিয়ন্ত্রণ করা
appliances:NNS	সরঞ্জামাদি
rooms:NNS	ঘর
climate.change:NN	জলবায়ু পরিবর্তন
appliance:NN	সরঞ্জাম
organised:VV	আয়োজিত
programmes:NNS	কার্যক্রম
micro-oven:NN	মাইক্রো ওভেন
maximum:NN	সর্বোচ্চ
bangla:NP	বাংলা
aloneness:NN	একাকীত্ব
mythology:NN	পুরান
delinquency:NN	অপকর্ম
empirical:JJ	প্রায়োগিক
test:NN	পরীক্ষা
precaution:NN	সাবধানতা
watt:NN	বিদ্যুৎশক্তির একক বা মান
field:NN	মাঠ
besmirch:VV	বদনাম করা
jacket:NN	জ্যাকেট
tits:NNS	স্তন
brouhaha:NN	কোলাহল
brouhaha:NN	প্রতিবাদী চিৎকার
speedy:JJ	দ্রুত
encomium:NN	অকুন্ঠ প্রসংশা
producing:NN	উৎপাদন করা
